start	end	mean	std	min	max	duration
0.0	0.00025	127.512500977	49.0094961148	90.0823608398	218.587606201	0.00025
0.00025	0.0007	90.8994344076	2.27335211439	85.6701635742	92.4723010254	0.00045
0.0007	0.00095	101.333463867	11.3335894343	92.8399841309	122.989998779	0.00025
0.00095	0.00185	137.881164551	6.37670826254	127.586037598	148.911657715	0.0009
0.00185	0.00255	143.72469962	2.1520105364	138.984213867	146.705559082	0.0007
0.00255	0.00655	140.712324463	3.7656790793	129.975977783	149.830865479	0.004
0.00655	0.0077	141.062422724	5.16478687401	130.711343994	149.095499268	0.00115
0.0077	0.00925	143.752233493	1.4758647175	141.006470947	146.889400635	0.00155
0.00925	0.01055	138.772088999	4.6134544523	129.05677002	146.705559082	0.0013
0.01055	0.01125	141.334759434	4.00201843674	132.917442627	145.418668213	0.0007
0.01125	0.0119	110.432206562	9.87476641879	97.9875476074	132.365917969	0.00065
0.0119	0.0149	143.981640076	1.44931662964	139.719580078	147.073242188	0.003
0.0149	0.0152	138.40204895	4.43818622279	133.285125732	144.683302002	0.0003
0.0152	0.0163	143.613678422	1.91506428652	139.16805542	146.154034424	0.0011
0.0163	0.0167	133.951551361	0.918920466349	132.365917969	135.307382813	0.0004
0.0167	0.01875	139.006633569	3.20183480894	130.527502441	144.499460449	0.00205
0.01875	0.0207	140.412521315	6.64814363909	117.474752197	150.014707031	0.00195
0.0207	0.0213	139.41317749	2.32946585102	134.755858154	142.109520264	0.0006
0.0213	0.02155	125.894695312	7.19043773432	115.268653564	136.226590576	0.00025
0.02155	0.0225	137.416722733	2.68033857696	130.895185547	142.109520264	0.00095
0.0225	0.02275	142.734581543	1.82216565386	140.454946289	144.867143555	0.00025
0.02275	0.02365	136.144883219	6.23594299278	116.555544434	144.131777344	0.0009
0.02365	0.024	115.715125907	1.06681131056	113.61407959	116.923227539	0.00035
0.024	0.02685	105.634711143	6.45629026025	89.8985192871	124.093048096	0.00285
0.02685	0.02725	140.133223572	8.83814799212	117.65859375	146.154034424	0.0004
0.02725	0.02775	106.738405518	3.12227694971	102.032061768	110.488773193	0.0005
0.02775	0.03175	137.915634842	4.81748131279	129.240611572	148.176291504	0.004
0.03175	0.03225	136.079517334	7.35816484888	124.460731201	144.131777344	0.0005
0.03225	0.0346	103.021676934	9.0406715199	88.2439453125	126.850671387	0.00235
0.0346	0.0361	144.021472412	3.70418299107	134.939699707	149.463182373	0.0015
0.0361	0.0367	136.977276917	6.76620933649	123.357681885	145.23482666	0.0006
0.0367	0.03925	143.436063232	1.77507553392	138.065006104	146.337875977	0.00255
0.03925	0.03995	136.029617484	3.09071362673	130.895185547	143.028728027	0.0007
0.03995	0.04095	142.752965698	2.43997290222	134.388175049	146.889400635	0.001
0.04095	0.04135	135.789966888	3.74957624	131.0790271	141.557995605	0.0004
0.04135	0.0422	115.712036133	12.0073859075	93.5753503418	133.468967285	0.00085
0.0422	0.04435	143.191192655	1.84362808436	137.513481445	145.602509766	0.00215
0.04435	0.04465	136.62491394	2.9326745518	132.917442627	141.741837158	0.0003
0.04465	0.045	104.658369664	4.8567527349	96.7006567383	109.56956543	0.00035
0.045	0.0456	91.4918127441	2.75285290241	85.3024804688	95.9652905273	0.0006
0.0456	0.04705	104.409323225	2.03743249908	101.480537109	110.672614746	0.00145
0.04705	0.0473	101.112854004	14.583166713	90.4500439453	129.975977783	0.00025
0.0473	0.05095	138.926291186	4.16362816524	130.159819336	146.337875977	0.00365
0.05095	0.05475	143.872947789	1.37870766841	141.006470947	147.25708374	0.0038
0.05475	0.055	143.617020996	1.24904066955	142.109520264	145.602509766	0.00025
0.055	0.05675	140.675556152	2.03145212865	134.572016602	143.947935791	0.00175
0.05675	0.057	134.204333496	2.12811983041	131.446710205	137.14579834	0.00025
0.057	0.05725	139.241592041	0.70341919915	138.432689209	140.087263184	0.00025
0.05725	0.05915	142.525582725	2.80072600413	135.675065918	147.073242188	0.0019
