start	end	mean	std	min	max	duration
0.0	0.00025	82.2874790039	26.7097418854	67.837532959	135.675065918	0.00025
0.00025	0.0009	67.3708582482	1.92762780417	63.4253356934	70.59515625	0.00065
0.0009	0.00165	113.209628174	2.35355484707	108.282674561	116.004019775	0.00075
0.00165	0.0019	103.944013916	6.41983546698	95.4137658691	110.304931641	0.00025
0.0019	0.00345	123.867693934	1.13875509515	121.70310791	126.299146729	0.00155
0.00345	0.00595	124.501176343	2.04858891328	121.151583252	129.975977783	0.0025
0.00595	0.00665	124.513257359	0.664409183112	122.989998779	125.74762207	0.0007
0.00665	0.007	118.577801514	1.73017687937	115.268653564	121.335424805	0.00035
0.007	0.011	124.251611435	1.55526687186	120.048533936	129.05677002	0.004
0.011	0.01445	124.466059942	1.70343095098	116.923227539	127.76987915	0.00345
0.01445	0.0149	123.500669759	4.22682589022	118.393959961	128.321403809	0.00045
0.0149	0.01515	106.333954102	6.39134352737	100.009804687	116.555544434	0.00025
0.01515	0.0179	123.912549117	1.1171599359	121.335424805	125.931463623	0.00275
0.0179	0.01955	124.533153631	1.89867470069	119.497009277	129.240611572	0.00165
0.01955	0.01985	117.934356079	1.77845522019	114.900970459	120.600058594	0.0003
0.01985	0.0208	125.128366314	2.61234187289	120.783900146	131.814393311	0.00095
0.0208	0.02145	124.40416457	0.711593836547	123.357681885	125.74762207	0.00065
0.02145	0.02345	125.467263702	1.37880398542	122.806157227	128.137562256	0.002
0.02345	0.0237	115.268653564	2.79777610686	110.488773193	118.761643066	0.00025
0.0237	0.0243	106.704701233	2.74273106481	102.399744873	112.327188721	0.0006
0.0243	0.0254	119.020692527	1.32530517569	116.923227539	121.519266357	0.0011
0.0254	0.0294	124.780155899	1.89181438359	120.967741699	130.159819336	0.004
0.0294	0.03275	124.457987297	1.37078248469	121.335424805	127.76987915	0.00335
0.03275	0.03365	125.482073161	2.33125637077	121.886949463	129.608294678	0.0009
0.03365	0.03535	119.286132202	1.55236642202	115.452495117	121.70310791	0.0017
0.03535	0.0363	125.854056653	2.59944400166	122.254632568	130.711343994	0.00095
0.0363	0.0403	124.656062851	1.88232199224	120.232375488	132.182076416	0.004
0.0403	0.04345	123.672838832	1.16889552882	120.967741699	126.115305176	0.00315
0.04345	0.04735	124.67285607	2.0399801062	120.967741699	131.630551758	0.0039
0.04735	0.04845	123.62508778	1.09708238331	121.335424805	125.196097412	0.0011
0.04845	0.0514	125.043415445	1.37747218899	121.519266357	128.872928467	0.00295
0.0514	0.05165	103.208647705	2.30088555005	101.296695557	107.731149902	0.00025
0.05165	0.0519	119.570545898	4.37001850543	113.981762695	125.196097412	0.00025
0.0519	0.05495	124.129213647	1.16024489913	121.886949463	127.586037598	0.00305
0.05495	0.0552	113.209628174	21.6818958152	70.2274731445	126.666829834	0.00025
0.0552	0.0574	124.306137168	1.08049534567	121.886949463	127.76987915	0.0022
0.0574	0.05765	116.040788086	13.5970186789	88.9793115234	125.379938965	0.00025
0.05765	0.06165	124.067769882	1.37351410901	120.967741699	127.586037598	0.004
0.06165	0.06505	124.225522156	1.39220866033	120.416217041	127.402196045	0.0034
0.06505	0.06705	124.860586578	1.856657473	120.783900146	128.872928467	0.002
0.06705	0.0674	117.553541434	1.36820307161	115.820178223	119.313167725	0.00035
0.0674	0.06785	120.518351237	7.68776786754	109.018040771	128.689086914	0.00045
0.06785	0.07135	117.456368042	1.61205037843	112.878713379	120.600058594	0.0035
0.07135	0.07185	112.198499634	4.17692700924	105.52505127	118.026276855	0.0005
0.07185	0.07225	124.874374695	0.971711739688	123.72536499	126.482988281	0.0004
0.07225	0.07405	122.821477356	1.29878198434	119.864692383	127.034512939	0.0018
0.07405	0.0744	116.713122907	2.71692789487	111.775664062	119.68085083	0.00035
0.0744	0.0747	116.034660034	0.502537608921	115.268653564	116.555544434	0.0003
0.0747	0.0757	118.954676697	1.26366831522	117.290910645	122.254632568	0.001
0.0757	0.076	126.145945435	1.09493383851	124.276889648	127.218354492	0.0003
0.076	0.0765	123.02676709	0.845671142578	121.70310791	124.093048096	0.0005
0.0765	0.0774	128.321403809	1.48344426087	125.379938965	130.895185547	0.0009
0.0774	0.0811	123.052107412	1.12448670012	120.600058594	125.563780518	0.0037
0.0811	0.0851	123.729961029	1.31738059015	120.600058594	127.586037598	0.004
0.0851	0.0877	123.714758747	1.15284331331	121.335424805	126.299146729	0.0026
0.0877	0.088	120.079174194	3.1278587092	113.61407959	123.173840332	0.0003
0.088	0.08845	123.868352865	1.26712278892	122.254632568	126.666829834	0.00045
0.08845	0.08875	129.30189209	1.87682527714	127.218354492	131.814393311	0.0003
0.08875	0.08995	122.691256256	1.30839197004	119.313167725	125.74762207	0.0012
0.08995	0.0904	115.554629313	2.86004928408	108.466516113	119.129326172	0.00045
0.0904	0.09065	123.357681885	0.97279805835	122.438474121	125.012255859	0.00025
0.09065	0.0913	128.703228572	1.59205174284	125.379938965	131.262868652	0.00065
0.0913	0.09445	123.559032157	1.60660985314	120.232375488	128.137562256	0.00315
0.09445	0.09845	124.662956909	1.56794320658	121.70310791	130.527502441	0.004
0.09845	0.09875	124.644572754	0.397143144288	123.909206543	125.196097412	0.0003
0.09875	0.09975	124.690533142	2.27835615845	120.600058594	131.814393311	0.001
0.09975	0.10135	126.844926338	3.02448842022	120.783900146	132.365917969	0.0016
0.10135	0.10535	123.716172913	1.39795152384	120.416217041	126.850671387	0.004
0.10535	0.10935	123.798901611	1.25921398902	120.967741699	128.137562256	0.004
0.10935	0.11015	124.104538193	0.931690302926	122.438474121	125.379938965	0.0008
0.11015	0.1108	127.713312519	1.34784170403	125.379938965	129.79213623	0.00065
0.1108	0.11225	123.928224635	0.829706252797	121.886949463	125.196097412	0.00145
0.11225	0.11415	124.639734818	1.78713760095	121.335424805	129.608294678	0.0019
0.11415	0.11475	115.88145874	1.44237207973	113.430238037	118.210118408	0.0006
0.11475	0.11875	119.56594986	1.34197250373	115.820178223	122.989998779	0.004
0.11875	0.11985	119.296454856	1.11813961157	116.923227539	121.886949463	0.0011
0.11985	0.12075	115.789537964	1.68744114449	111.59182251	119.497009277	0.0009
0.12075	0.12265	123.92372035	1.31923149969	120.600058594	127.76987915	0.0019
0.12265	0.1229	128.137562256	2.41105936054	125.012255859	131.630551758	0.00025
0.1229	0.1268	123.277545823	1.38722063617	119.68085083	126.666829834	0.0039
0.1268	0.12735	128.505245361	2.06361631135	124.828414307	132.365917969	0.00055
0.12735	0.12785	122.695852295	0.780839808074	121.70310791	123.909206543	0.0005
0.12785	0.12815	127.923080444	1.66616532231	124.644572754	130.159819336	0.0003
0.12815	0.13215	123.081919556	1.36804552258	118.393959961	125.931463623	0.004
0.13215	0.13415	123.196820526	1.28241013794	119.313167725	125.563780518	0.002
0.13415	0.13645	119.325157391	1.67241880393	116.371702881	124.276889648	0.0023
0.13645	0.1369	103.523221029	5.62276345671	96.7006567383	115.084812012	0.00045
0.1369	0.13745	116.789524592	1.76176148206	113.797921143	119.68085083	0.00055
0.13745	0.13885	119.648021981	1.34383519777	117.107069092	122.438474121	0.0014
0.13885	0.1394	112.644733221	4.04762073188	102.399744873	117.65859375	0.00055
0.1394	0.13965	119.68085083	0.55761903833	118.577801514	120.048533936	0.00025
0.13965	0.1412	117.047765365	1.58242079846	113.430238037	119.497009277	0.00155
0.1412	0.14325	119.779497517	1.44705583873	116.923227539	124.093048096	0.00205
0.14325	0.14365	120.990721893	0.523524934781	120.048533936	121.519266357	0.0004
0.14365	0.14395	128.352044067	1.53599100831	126.115305176	130.527502441	0.0003
0.14395	0.1449	124.160779194	1.73406081849	121.151583252	129.05677002	0.00095
0.1449	0.1481	119.591802578	1.31690435382	115.63633667	122.254632568	0.0032
0.1481	0.1501	117.847031342	1.57851687551	114.900970459	120.967741699	0.002
0.1501	0.1523	119.342415244	1.61412806295	116.371702881	124.644572754	0.0022
