start	end	mean	std	min	max	duration
0.0	0.00025	207.336503174	28.9605942878	149.463182373	223.551328125	0.00025
0.00025	0.00255	223.299545129	1.4112595202	220.426021729	226.125109863	0.0023
0.00255	0.0029	136.016485944	16.4037265395	114.900970459	171.340327148	0.00035
0.0029	0.0069	223.461705368	1.48217620153	219.322972412	227.412000732	0.004
0.0069	0.0109	222.992909409	1.96943212961	218.219923096	228.882733154	0.004
0.0109	0.01485	223.2627667	1.82409071528	217.85223999	227.963525391	0.00395
0.01485	0.0151	211.454553955	18.6848146931	174.281791992	223.18364502	0.00025
0.0151	0.0187	223.232158763	1.49667331931	219.322972412	226.308951416	0.0036
0.0187	0.01895	207.961564453	30.8703634816	146.337875977	226.308951416	0.00025
0.01895	0.02295	223.976461716	1.69333782452	219.322972412	227.595842285	0.004
0.02295	0.02695	223.174452942	1.570984963	218.036081543	226.676634521	0.004
0.02695	0.02895	223.794918182	1.8427250078	219.87449707	227.22815918	0.002
0.02895	0.0292	218.366996338	12.9711387484	193.033630371	228.147366943	0.00025
0.0292	0.02975	123.274117543	15.4463436766	84.7509558105	141.006470947	0.00055
0.02975	0.03125	137.544121704	3.68848142894	131.262868652	145.418668213	0.0015
0.03125	0.03225	129.939209473	3.99346848156	123.357681885	136.961956787	0.001
0.03225	0.03295	128.570903059	1.05290055991	127.034512939	129.975977783	0.0007
0.03295	0.0368	127.120464834	2.39710759952	120.048533936	131.998234863	0.00385
0.0368	0.03705	126.262378418	3.23352154471	122.438474121	130.711343994	0.00025
0.03705	0.0373	131.814393311	6.94619464831	119.497009277	138.432689209	0.00025
0.0373	0.0383	136.309319275	2.73885353488	129.424453125	140.822629395	0.001
0.0383	0.0389	126.26850647	3.98547210943	119.864692383	133.285125732	0.0006
0.0389	0.03985	125.34123548	1.48347231019	122.254632568	128.321403809	0.00095
0.03985	0.0406	130.588782959	3.51624170961	124.093048096	136.961956787	0.00075
0.0406	0.04175	135.403300144	2.59021198392	128.872928467	141.741837158	0.00115
0.04175	0.04285	138.31569913	4.5074578271	126.482988281	145.786351318	0.0011
0.04285	0.0431	127.659574219	4.54144454157	118.945484619	131.814393311	0.00025
0.0431	0.044	129.199757894	1.51296566256	126.666829834	131.998234863	0.0009
0.044	0.04545	136.068106479	2.84712964374	129.79213623	141.741837158	0.00145
0.04545	0.0457	129.79213623	2.78809519165	125.196097412	133.285125732	0.00025
0.0457	0.047	138.736734854	3.42114881591	132.917442627	145.786351318	0.0013
0.047	0.0489	132.772304559	3.39960601942	124.460731201	140.638787842	0.0019
0.0489	0.0504	136.857779907	2.60842738389	129.05677002	141.374154053	0.0015
0.0504	0.05195	130.142028218	3.00720771902	122.989998779	138.800372314	0.00155
0.05195	0.05275	137.467521057	2.9682725992	131.998234863	143.947935791	0.0008
0.05275	0.0542	144.024008158	1.96971697342	138.984213867	148.360133057	0.00145
0.0542	0.05565	140.581733567	2.67594754652	133.836650391	147.25708374	0.00145
0.05565	0.05965	134.466307709	4.25035696222	123.72536499	142.661044922	0.004
0.05965	0.06135	133.636587524	2.2451206831	127.034512939	137.697322998	0.0017
0.06135	0.06355	138.361659518	2.72179658459	130.895185547	144.131777344	0.0022
0.06355	0.06755	143.823842743	1.94054643082	137.697322998	147.25708374	0.004
0.06755	0.06945	144.775222778	1.88228027812	141.925678711	149.095499268	0.0019
0.06945	0.07035	143.97857605	0.915626088851	142.477203369	145.23482666	0.0009
0.07035	0.07435	145.512887009	1.820633342	141.1903125	150.382390137	0.004
0.07435	0.0754	146.828120117	1.43790190758	143.947935791	149.095499268	0.00105
0.0754	0.07635	144.363998252	1.90105631286	141.1903125	148.360133057	0.00095
0.07635	0.07725	142.620191243	1.25221689169	140.454946289	145.050985107	0.0009
0.07725	0.0782	134.349471564	4.96554171027	126.115305176	143.947935791	0.00095
0.0782	0.07855	144.23682966	0.855870185364	142.661044922	145.602509766	0.00035
0.07855	0.0799	140.740922038	2.31157462673	135.675065918	144.131777344	0.00135
0.0799	0.0839	144.683302002	1.77861357959	140.271104736	148.911657715	0.004
0.0839	0.0842	144.46882019	1.60064195768	141.925678711	147.073242188	0.0003
0.0842	0.08485	140.129688157	2.65840601137	134.572016602	144.131777344	0.00065
0.08485	0.0855	135.109399602	1.52703714848	132.365917969	138.248847656	0.00065
0.0855	0.08925	136.819785986	4.60720999862	126.115305176	146.521717529	0.00375
0.08925	0.09165	141.420114441	1.86068632101	134.755858154	144.499460449	0.0024
0.09165	0.09305	143.317621896	1.82287337261	137.881164551	148.911657715	0.0014
0.09305	0.09345	139.995342407	1.00694165439	138.800372314	141.741837158	0.0004
0.09345	0.0943	135.988677979	1.33431738853	133.468967285	138.248847656	0.00085
0.0943	0.09545	138.776392981	2.2867562737	134.204333496	143.028728027	0.00115
0.09545	0.0966	129.008811354	2.20491093067	124.276889648	132.549759521	0.00115
0.0966	0.09685	138.359152588	2.31260689717	135.12354126	141.925678711	0.00025
0.09685	0.09715	130.741984253	1.54330819625	128.872928467	133.468967285	0.0003
0.09715	0.0989	136.058506871	1.98848799899	132.182076416	140.087263184	0.00175
0.0989	0.1005	132.963403015	2.83914694725	127.218354492	140.454946289	0.0016
0.1005	0.10115	137.48519813	1.43647505569	135.675065918	140.454946289	0.00065
0.10115	0.1041	138.102397606	3.92895805106	126.666829834	144.867143555	0.00295
0.1041	0.10485	139.719580078	1.57002551707	136.410432129	142.661044922	0.00075
0.10485	0.1058	142.709424278	1.75712329049	139.535738525	146.705559082	0.00095
0.1058	0.1098	145.634682037	1.65783267647	140.087263184	150.566231689	0.004
0.1098	0.11115	144.887570394	2.0777218502	138.984213867	148.176291504	0.00135
0.11115	0.11385	137.935636122	4.05974828465	129.05677002	144.499460449	0.0027
0.11385	0.11605	143.551005166	1.85171398402	140.638787842	147.25708374	0.0022
0.11605	0.1174	144.948850911	1.27794328603	142.477203369	147.25708374	0.00135
0.1174	0.118	136.073389282	4.53920723709	131.446710205	148.360133057	0.0006
0.118	0.122	144.644235672	2.16798493078	139.16805542	148.911657715	0.004
0.122	0.1228	145.11992569	1.85997665001	141.741837158	149.27934082	0.0008
0.1228	0.1231	140.761348877	0.346654956273	140.087263184	141.1903125	0.0003
0.1231	0.12335	143.433179443	1.32773826233	141.557995605	145.23482666	0.00025
0.12335	0.12735	136.36906778	3.7353073763	121.519266357	142.477203369	0.004
0.12735	0.1277	130.895185547	4.9836225169	124.093048096	136.961956787	0.00035
0.1277	0.1289	138.478649597	2.96304927111	131.262868652	142.844886475	0.0012
0.1289	0.1294	128.597166138	3.13205798438	121.519266357	133.652808838	0.0005
0.1294	0.1334	134.976468018	4.96494738291	116.739385986	143.947935791	0.004
0.1334	0.134	135.031620483	3.77696344228	125.74762207	141.1903125	0.0006
0.134	0.1348	127.310275269	4.8396092345	116.187861328	134.939699707	0.0008
0.1348	0.13715	135.659419828	3.04449646548	127.953720703	141.925678711	0.00235
0.13715	0.139	137.836446335	2.17960775925	132.549759521	142.477203369	0.00185
0.139	0.14215	133.503984724	4.75262567283	120.416217041	141.006470947	0.00315
0.14215	0.144	136.01790557	3.06261641616	128.689086914	142.477203369	0.00185
0.144	0.148	144.926892059	2.62317078545	135.307382813	150.566231689	0.004
0.148	0.15185	145.652648371	2.69192085971	135.307382813	151.3015979	0.00385
0.15185	0.15245	143.702813721	1.24762679134	142.109520264	146.521717529	0.0006
0.15245	0.15315	131.866919468	5.81832419663	123.541523438	140.271104736	0.0007
0.15315	0.15495	137.779030355	2.43332444484	132.182076416	142.844886475	0.0018
0.15495	0.1559	132.607814749	2.95958312995	126.115305176	137.513481445	0.00095
0.1559	0.1594	128.823028617	2.09194779842	123.541523438	134.204333496	0.0035
0.1594	0.1604	127.043705017	3.10494994174	121.519266357	133.285125732	0.001
0.1604	0.16085	135.756773275	0.677481612551	134.755858154	136.778115234	0.00045
0.16085	0.1618	137.097418984	4.26243816741	124.093048096	142.477203369	0.00095
0.1618	0.16305	127.049220264	3.0546124581	122.254632568	131.998234863	0.00125
0.16305	0.1633	133.983723633	3.85524108367	126.299146729	136.410432129	0.00025
0.1633	0.1646	128.561811993	1.60574773636	125.379938965	131.0790271	0.0013
0.1646	0.1649	131.354789429	1.09664735104	129.79213623	133.468967285	0.0003
0.1649	0.1689	136.164544052	2.95949838756	128.137562256	142.293361816	0.004
0.1689	0.1708	137.150636275	2.89682478566	129.05677002	141.1903125	0.0019
0.1708	0.17265	135.014230066	6.12102755419	118.026276855	143.028728027	0.00185
0.17265	0.17375	139.778075118	2.63710051994	133.468967285	143.764094238	0.0011
0.17375	0.17775	130.391919296	5.19630870403	118.210118408	142.109520264	0.004
0.17775	0.1782	137.513481445	7.9914118277	120.232375488	145.23482666	0.00045
0.1782	0.1798	126.144030418	4.6667584699	115.268653564	135.675065918	0.0016
0.1798	0.18375	133.966968453	3.60861339976	125.196097412	141.925678711	0.00395
0.18375	0.1842	136.90067627	1.26778120558	134.572016602	138.616530762	0.00045
0.1842	0.1854	128.55120575	4.64669904528	119.864692383	136.961956787	0.0012
0.1854	0.18825	134.633297119	3.24753271445	126.115305176	141.741837158	0.00285
0.18825	0.18865	129.861076813	2.24207097163	126.115305176	133.468967285	0.0004
0.18865	0.1889	123.467986816	2.18949037678	120.048533936	126.115305176	0.00025
0.1889	0.18915	140.050494873	3.98796357578	135.307382813	146.337875977	0.00025
0.18915	0.19045	143.240852896	1.71149118992	140.087263184	146.705559082	0.0013
0.19045	0.1907	135.675065918	2.23047615332	132.549759521	138.800372314	0.00025
0.1907	0.19145	140.013726563	1.78215714225	136.594273682	142.661044922	0.00075
0.19145	0.1917	129.020001709	5.95533137607	121.335424805	135.12354126	0.00025
0.1917	0.1923	138.754411926	1.43805346878	135.858907471	141.741837158	0.0006
0.1923	0.19445	140.082987799	3.70546900572	128.689086914	145.050985107	0.00215
0.19445	0.19485	133.10128418	6.38435949123	121.335424805	143.580252686	0.0004
0.19485	0.19845	138.746751862	4.30443157255	125.379938965	145.602509766	0.0036
0.19845	0.20165	138.019045715	4.81466601256	122.806157227	144.131777344	0.0032
0.20165	0.20235	140.468077829	1.52150292268	138.616530762	142.661044922	0.0007
0.20235	0.2029	126.382711071	2.74406774385	123.173840332	131.262868652	0.00055
0.2029	0.2042	140.921621	2.66374184233	135.491224365	145.970192871	0.0013
0.2042	0.2053	136.61098655	3.89155112995	126.115305176	142.844886475	0.0011
0.2053	0.20665	139.882994792	1.72337648105	136.961956787	143.764094238	0.00135
0.20665	0.20725	136.716834717	1.87532401684	131.998234863	138.984213867	0.0006
0.20725	0.2104	129.698756394	4.64450109644	117.842435303	141.557995605	0.00315
