start	end	mean	std	min	max	duration
0.0	0.0004	194.366481628	7.24761950789	175.384841309	198.181193848	0.0004
0.0004	0.0008	184.898641663	22.4380384985	129.05677002	197.997352295	0.0004
0.0008	0.0012	81.9473721313	56.2248477442	36.2167858887	198.3650354	0.0004
0.0012	0.00225	196.824268101	0.996459964376	194.504362793	198.181193848	0.00105
0.00225	0.00255	123.756005249	28.6367110832	72.0658886719	157.552210693	0.0003
0.00255	0.00355	197.170065308	1.46208945327	193.401313477	199.100401611	0.001
0.00355	0.0038	184.356309082	23.8850862102	136.594273682	197.078144531	0.00025
0.0038	0.00415	105.209894322	2.79279166279	102.032061768	108.834199219	0.00035
0.00415	0.0049	96.9580349121	2.87310881813	93.3915087891	102.767427979	0.00075
0.0049	0.0089	116.346424667	2.23459081221	109.385723877	121.70310791	0.004
0.0089	0.01095	115.604949088	1.83792332166	111.407980957	120.048533936	0.00205
0.01095	0.0129	117.441754995	2.00865755654	112.878713379	121.886949463	0.00195
0.0129	0.0169	116.564736511	2.18665210978	111.959505615	123.72536499	0.004
0.0169	0.01755	116.937369197	1.91931006179	113.246396484	120.416217041	0.00065
0.01755	0.0181	100.878873846	4.23314226439	95.0460827637	107.179625244	0.00055
0.0181	0.0192	115.176732788	2.07530828204	112.143347168	121.519266357	0.0011
0.0192	0.0195	84.8735168457	4.6722124914	77.5811352539	92.8399841309	0.0003
0.0195	0.02065	116.699420431	1.1293222092	114.717128906	119.68085083	0.00115
0.02065	0.02135	117.343436802	9.81136046218	97.0683398437	141.741837158	0.0007
0.02135	0.02185	124.203353027	1.69533412995	120.967741699	126.850671387	0.0005
0.02185	0.0252	122.26286428	1.46847823606	118.945484619	125.563780518	0.00335
0.0252	0.026	127.873290024	2.20798292215	123.173840332	130.711343994	0.0008
0.026	0.02785	117.300848026	2.08429316506	113.246396484	122.989998779	0.00185
0.02785	0.0283	118.475667318	0.649175105036	117.65859375	119.68085083	0.00045
0.0283	0.0309	115.926240657	2.1660639427	109.385723877	120.232375488	0.0026
0.0309	0.0313	127.700938568	2.08183309929	124.276889648	131.446710205	0.0004
0.0313	0.0346	123.132058161	1.62326468104	119.497009277	128.689086914	0.0033
0.0346	0.03485	128.799391846	2.13636224404	125.931463623	132.365917969	0.00025
0.03485	0.03885	122.691256256	1.26416134322	120.048533936	126.482988281	0.004
0.03885	0.0416	122.501983021	1.01012112239	120.416217041	125.196097412	0.00275
0.0416	0.0419	124.613932495	2.35292450574	122.070791016	128.689086914	0.0003
0.0419	0.0459	122.548779053	1.46745409044	118.761643066	125.379938965	0.004
0.0459	0.0497	122.215929084	1.36546393477	119.497009277	127.034512939	0.0038
0.0497	0.05235	123.146090664	1.50009513503	120.048533936	127.402196045	0.00265
0.05235	0.05275	127.631997986	1.15084665173	125.563780518	129.424453125	0.0004
0.05275	0.05675	123.29793338	1.96434828138	118.026276855	131.0790271	0.004
0.05675	0.05815	123.272326878	1.7136910583	119.864692383	126.299146729	0.0014
0.05815	0.0584	116.629081055	2.22926360844	112.511030273	119.313167725	0.00025
0.0584	0.05875	123.252629569	1.4336850991	120.600058594	124.828414307	0.00035
0.05875	0.06175	122.57329126	0.924625338002	120.232375488	124.644572754	0.003
0.06175	0.0622	121.049449056	1.47611299554	119.313167725	123.173840332	0.00045
0.0622	0.0629	127.651695295	2.58557978285	120.048533936	131.814393311	0.0007
0.0629	0.0636	122.701104911	0.818380465546	121.519266357	124.644572754	0.0007
0.0636	0.06395	127.822405308	0.941083483264	125.74762207	128.872928467	0.00035
0.06395	0.06795	123.052045303	1.43111637982	120.048533936	126.666829834	0.004
0.06795	0.0712	122.591204026	1.40438553995	119.129326172	125.74762207	0.00325
0.0712	0.07145	123.0635354	5.65515263031	115.452495117	132.365917969	0.00025
0.07145	0.07435	123.446432979	1.76441705595	118.577801514	127.034512939	0.0029
0.07435	0.0752	121.497637939	1.18789052574	119.497009277	123.541523438	0.00085
0.0752	0.07545	117.143837402	8.67404891558	102.032061768	129.05677002	0.00025
0.07545	0.07585	117.888395691	1.50971305461	115.820178223	119.864692383	0.0004
0.07585	0.07665	124.828414307	2.31450600931	120.416217041	128.689086914	0.0008
0.07665	0.0785	121.737888744	1.42968838158	119.129326172	125.196097412	0.00185
0.0785	0.08095	123.0350212	1.66456157417	117.107069092	127.034512939	0.00245
0.08095	0.08315	122.129286055	1.02266504881	120.416217041	124.276889648	0.0022
0.08315	0.08365	128.339787964	1.29852534699	125.563780518	129.975977783	0.0005
0.08365	0.08765	122.918760178	1.83898850664	116.004019775	128.321403809	0.004
0.08765	0.09165	122.507414703	1.77703925638	118.026276855	129.79213623	0.004
0.09165	0.09565	122.808455246	1.47660756654	119.129326172	126.115305176	0.004
0.09565	0.09755	122.675532965	1.80270724948	118.945484619	126.299146729	0.0019
0.09755	0.0978	127.144817871	1.14277896639	125.931463623	128.689086914	0.00025
0.0978	0.0986	121.530756454	0.813041085636	120.048533936	122.806157227	0.0008
