start	end	mean	std	min	max	duration
0.0	0.00025	68.9038139648	33.3422695285	48.9018530273	135.491224365	0.00025
0.00025	0.0017	53.2760141096	4.11064611766	44.6734973145	59.5646630859	0.00145
0.0017	0.0024	56.2423835972	1.66542920571	52.9463671875	58.829296875	0.0007
0.0024	0.00335	58.7228622918	1.7207823527	54.9686242676	61.4030786133	0.00095
0.00335	0.004	60.724279034	0.890138453494	59.0131384277	62.322286377	0.00065
0.004	0.00435	62.6637064035	0.812883660354	61.0353955078	63.6091772461	0.00035
0.00435	0.00465	58.0939306641	0.561645220856	57.1747229004	58.829296875	0.0003
0.00465	0.00605	43.8396445574	5.40727314432	34.7460534668	56.071673584	0.0014
0.00605	0.0064	57.9626152693	0.578980282783	56.8070397949	58.6454553223	0.00035
0.0064	0.0098	50.9457385254	4.70785257733	40.0774584961	59.1969799805	0.0034
0.0098	0.01215	46.2693984531	4.45261155793	35.1137365723	55.1524658203	0.00235
0.01215	0.0129	54.9441120605	2.94365990993	48.9018530273	60.6677124023	0.00075
0.0129	0.0144	48.3503283691	5.43168052574	38.6067260742	58.4616137695	0.0015
0.0144	0.0151	57.8575629534	4.33070129041	48.3503283691	63.0576525879	0.0007
0.0151	0.0169	51.414354248	4.28131151108	43.0189233398	58.829296875	0.0018
0.0169	0.01745	53.782010609	3.12025270053	47.2472790527	57.9100891113	0.00055
0.01745	0.0186	45.7685535199	3.59293673083	39.8936169434	51.2917932129	0.00115
0.0186	0.01985	55.1745268066	2.48632089989	51.2917932129	60.4838708496	0.00125
0.01985	0.0201	40.7025197754	5.12466366099	33.4591625977	49.4533776855	0.00025
0.0201	0.02055	53.8860017904	2.65486050252	50.3725854492	57.9100891113	0.00045
0.02055	0.0215	59.8549392218	3.12577068399	52.578684082	64.5283850098	0.00095
0.0215	0.0218	48.7180114746	3.46871547957	43.0189233398	53.4978918457	0.0003
0.0218	0.0237	44.5331971821	2.04953247568	41.1805078125	49.821060791	0.0019
0.0237	0.0241	39.2731517029	1.57326242095	36.4006274414	41.548190918	0.0004
0.0241	0.025	53.211916097	3.18789605791	47.9826452637	59.9323461914	0.0009
0.025	0.02555	44.422804288	2.06104296937	40.4451416016	47.6149621582	0.00055
0.02555	0.0258	56.3658200684	1.41259236259	54.4170996094	58.829296875	0.00025
0.0258	0.027	51.2458328247	7.00816803191	32.1722717285	66.1829589844	0.0012
0.027	0.02775	48.6199626465	2.6580773284	42.2835571289	52.578684082	0.00075
0.02775	0.0286	56.4826135254	3.10041693055	49.6372192383	60.8515539551	0.00085
0.0286	0.02905	50.9649637858	3.81495489987	45.4088635254	55.7039904785	0.00045
0.02905	0.0304	46.4370144314	2.61204531561	38.790567627	50.9241101074	0.00135
0.0304	0.03105	51.6877596342	1.63615987346	50.0049023437	54.6009411621	0.00065
0.03105	0.03135	42.1609960937	3.25883316363	36.9521520996	46.5119128418	0.0003
0.03135	0.03165	53.9881359863	3.60358623377	48.5341699219	57.3585644531	0.0003
0.03165	0.0321	40.9966662598	4.24209929064	30.7015393066	46.1442297363	0.00045
0.0321	0.03245	34.2207918876	1.3272602437	32.1722717285	36.5844689941	0.00035
0.03245	0.03585	44.4653237915	3.34513546771	27.9439160156	52.0271594238	0.0034
0.03585	0.03905	50.1542736053	5.80274928212	37.6875183105	64.344543457	0.0032
0.03905	0.04105	53.8931511841	2.96878493961	47.2472790527	59.0131384277	0.002
0.04105	0.0431	49.2605682522	3.67861326244	43.7542895508	57.7262475586	0.00205
0.0431	0.04505	51.8951706167	1.90460827715	46.5119128418	56.071673584	0.00195
0.04505	0.04535	41.548190918	1.59564865929	39.5259338379	44.6734973145	0.0003
0.04535	0.04585	53.2037453613	2.42252667583	48.9018530273	58.829296875	0.0005
0.04585	0.04615	55.9491125488	0.458581402523	55.336307373	56.8070397949	0.0003
0.04615	0.04735	55.8495317078	7.31198416086	39.8936169434	63.9768603516	0.0012
0.04735	0.0483	60.9676644094	1.15536546966	58.829296875	63.2414941406	0.00095
0.0483	0.049	57.791905256	2.12653919709	54.4170996094	62.322286377	0.0007
0.049	0.0496	52.7931658936	0.998044994797	51.2917932129	54.6009411621	0.0006
0.0496	0.05035	46.8060593262	4.87176646025	35.4814196777	53.314050293	0.00075
0.05035	0.05435	52.921088974	5.32480354643	40.9966662598	62.6899694824	0.004
0.05435	0.05465	46.481272583	3.10617276381	40.9966662598	51.2917932129	0.0003
0.05465	0.0558	55.8638526983	2.8066406736	49.821060791	59.7485046387	0.00115
0.0558	0.05645	51.8433178711	4.50375727096	45.2250219727	59.1969799805	0.00065
0.05645	0.0572	49.3798410645	2.50168659619	45.7765466309	54.4170996094	0.00075
0.0572	0.05765	41.2826420085	6.77980301834	29.5984899902	50.0049023437	0.00045
0.05765	0.05835	55.2443865967	2.84275841925	49.4533776855	59.9323461914	0.0007
0.05835	0.0604	54.0539004442	3.1081114	47.2472790527	59.7485046387	0.00205
0.0604	0.06095	49.2862490012	2.93147714183	44.8573388672	54.7847827148	0.00055
0.06095	0.06165	57.9363521903	2.56707323045	52.3948425293	63.0576525879	0.0007
0.06165	0.06225	43.6164083862	4.92848824545	35.6652612305	52.7625256348	0.0006
0.06225	0.06325	54.4538679199	5.51910590435	42.2835571289	61.586920166	0.001
0.06325	0.0644	55.5441282587	2.76496948499	50.9241101074	61.4030786133	0.00115
0.0644	0.06765	58.2325189115	1.57917178025	54.2332580566	62.322286377	0.00325
0.06765	0.06925	45.2709823608	4.07236012907	38.4228845215	53.314050293	0.0016
0.06925	0.06975	52.9279830322	5.32407802922	46.8795959473	59.9323461914	0.0005
0.06975	0.0703	58.1607821378	1.6689454013	54.7847827148	60.8515539551	0.00055
0.0703	0.07135	46.0654404994	2.87369773129	40.812824707	50.3725854492	0.00105
0.07135	0.07245	51.7263277921	4.63217884644	42.6512402344	59.9323461914	0.0011
0.07245	0.0731	50.9241101074	1.44936471339	48.7180114746	53.4978918457	0.00065
0.0731	0.07595	54.4106490286	3.41218042564	47.7988037109	61.586920166	0.00285
0.07595	0.077	59.7309959194	1.36388315774	57.5424060059	63.0576525879	0.00105
0.077	0.0773	51.4756347656	1.10304931641	50.0049023437	53.314050293	0.0003
0.0773	0.07775	39.9753243001	1.44266133514	38.2390429687	43.0189233398	0.00045
0.07775	0.07975	45.1239091187	3.68737533462	37.3198352051	53.8655749512	0.002
0.07975	0.08045	58.3696929932	2.59410230518	53.6817333984	61.9546032715	0.0007
0.08045	0.08445	48.4951035919	3.6317076018	38.4228845215	58.4616137695	0.004
0.08445	0.0855	49.5146582031	4.18313681417	39.8936169434	58.6454553223	0.00105
0.0855	0.08645	42.5157780376	3.84143053958	34.5622119141	49.4533776855	0.00095
0.08645	0.08895	48.8283164062	5.64198912791	36.7683105469	61.586920166	0.0025
0.08895	0.09085	45.0169907419	3.86278483732	36.9521520996	54.6009411621	0.0019
0.09085	0.0919	48.6479765974	2.19180915024	44.6734973145	53.1302087402	0.00105
0.0919	0.0922	53.4978918457	2.57159221705	50.556427002	57.3585644531	0.0003
0.0922	0.09265	59.5850899251	1.56582082061	57.3585644531	62.322286377	0.00045
0.09265	0.09415	48.0377977295	4.67795177701	38.055201416	59.9323461914	0.0015
0.09415	0.09445	56.0103930664	1.25438091054	53.6817333984	57.7262475586	0.0003
0.09445	0.09815	46.7330195741	2.11563118062	40.812824707	50.3725854492	0.0037
0.09815	0.09845	44.0300518799	1.04401932813	42.0997155762	45.4088635254	0.0003
0.09845	0.09915	46.9583851842	2.19481416683	42.6512402344	49.821060791	0.0007
0.09915	0.10025	44.5648636697	1.83310913019	40.0774584961	47.6149621582	0.0011
0.10025	0.10135	49.4617341198	2.25327959783	46.3280712891	55.5201489258	0.0011
0.10135	0.10215	57.4160149384	2.14760333928	54.2332580566	61.9546032715	0.0008
0.10215	0.1038	49.2973909135	4.63964666572	40.0774584961	58.2777722168	0.00165
0.1038	0.1043	55.3179232178	1.86660295596	53.1302087402	58.4616137695	0.0005
0.1043	0.1083	49.4303974915	1.28767031825	45.9603881836	52.3948425293	0.004
0.1083	0.10975	50.1697258048	1.29036813711	47.4311206055	52.3948425293	0.00145
0.10975	0.111	48.3650356934	1.85519355976	45.4088635254	53.8655749512	0.00125
