start	end	mean	std	min	max	duration
0.0	0.00095	111.882098646	2.16566662463	105.708892822	115.084812012	0.00095
0.00095	0.00185	123.888779704	6.45510742757	109.385723877	131.998234863	0.0009
0.00185	0.0032	109.440195448	3.00912294084	98.1713891602	114.717128906	0.00135
0.0032	0.00365	119.068045654	4.60053052811	111.040297852	128.321403809	0.00045
0.00365	0.00445	86.2446684265	1.69477957687	83.0963818359	88.7954699707	0.0008
0.00445	0.0053	95.0677111816	9.85425471828	79.0518676758	113.430238037	0.00085
0.0053	0.006	114.415103498	3.99140481561	107.914991455	121.519266357	0.0007
0.006	0.0066	87.9988232422	9.34653459462	75.1911950684	105.708892822	0.0006
0.0066	0.01035	67.6512401855	4.83951549866	58.829296875	87.5085791016	0.00375
0.01035	0.0119	71.0162127095	3.35469393259	66.1829589844	77.2134521484	0.00155
0.0119	0.0137	88.6575888062	4.77130420752	73.9043041992	99.4582800293	0.0018
0.0137	0.0143	83.9236688232	1.71064869411	81.6256494141	86.5893713379	0.0006
0.0143	0.0147	79.0059072876	2.05489712801	76.4780859375	82.7286987305	0.0004
0.0147	0.01635	72.5282780318	1.93510351264	68.3890576172	76.6619274902	0.00165
0.01635	0.0174	87.6924206543	2.34747464448	80.5226000977	91.1854101563	0.00105
0.0174	0.0179	94.3658690186	2.39988934553	91.5530932617	98.9067553711	0.0005
0.0179	0.01815	82.0301008301	0.711065284637	80.8902832031	82.9125402832	0.00025
0.01815	0.01855	73.7434428406	2.99898136329	70.0436315918	79.7872338867	0.0004
0.01855	0.01895	80.1319367981	8.53895898633	69.8597900391	92.4723010254	0.0004
0.01895	0.01935	86.0148664856	2.22599687651	83.0963818359	89.1631530762	0.0004
0.01935	0.01985	78.7209528809	2.25429027738	75.1911950684	81.6256494141	0.0005
0.01985	0.02365	71.8626953767	3.39610673809	65.4475927734	79.0518676758	0.0038
0.02365	0.02425	59.6259436035	1.6619339636	57.3585644531	62.8738110352	0.0006
