start	end	mean	std	min	max	duration
0.0	0.00045	124.930548503	44.1695339917	98.5390722656	239.729384766	0.00045
0.00045	0.0007	141.962447021	6.04657074827	130.527502441	147.073242188	0.00025
0.0007	0.00315	157.113242088	2.15319333286	150.750073242	161.596724854	0.00245
0.00315	0.0034	152.331110596	4.76656867651	142.844886475	155.529953613	0.00025
0.0034	0.00635	135.858907471	1.92189735025	131.630551758	142.109520264	0.00295
0.00635	0.00705	137.881164551	3.0240199138	134.204333496	145.418668213	0.0007
0.00705	0.01105	129.167074951	2.33478771973	122.254632568	134.939699707	0.004
0.01105	0.0126	129.157586355	2.16309885819	123.173840332	134.572016602	0.00155
0.0126	0.0166	127.4205802	1.69583244986	122.989998779	132.365917969	0.004
0.0166	0.02	127.61307312	2.08929146207	121.519266357	131.446710205	0.0034
0.02	0.0203	133.223845215	2.223055828	130.895185547	137.881164551	0.0003
0.0203	0.0218	128.811647949	1.63700439499	126.115305176	133.836650391	0.0015
0.0218	0.02235	133.10128418	1.55797642777	130.895185547	135.491224365	0.00055
0.02235	0.0226	150.051475342	7.79661599731	136.961956787	157.000686035	0.00025
0.0226	0.02355	150.585583432	2.29919549047	145.970192871	155.529953613	0.00095
0.02355	0.02575	128.684908697	2.74883185602	119.129326172	138.248847656	0.0022
0.02575	0.0267	132.327214484	3.0927390191	125.379938965	139.16805542	0.00095
0.0267	0.0271	123.541523437	2.1635581196	121.70310791	128.689086914	0.0004
0.0271	0.02835	129.983331445	5.07495397164	122.070791016	141.557995605	0.00125
0.02835	0.0286	123.357681885	3.43936051892	117.107069092	126.850671387	0.00025
0.0286	0.029	117.819455109	1.42236077942	115.63633667	120.416217041	0.0004
0.029	0.0297	114.244393485	2.64110485185	109.937248535	119.129326172	0.0007
0.0297	0.02995	120.930973389	1.96426762866	118.761643066	124.093048096	0.00025
0.02995	0.0305	123.892493675	1.10431471698	122.254632568	125.74762207	0.00055
0.0305	0.03235	120.187657273	1.27469915382	117.290910645	122.989998779	0.00185
0.03235	0.0329	126.132018044	2.6795893676	122.254632568	131.0790271	0.00055
0.0329	0.03445	121.015184681	2.5159322108	114.533287354	126.666829834	0.00155
0.03445	0.03515	118.026276855	1.2352026102	116.371702881	120.600058594	0.0007
0.03515	0.0357	97.736854581	4.30310115253	89.7146777344	102.767427979	0.00055
0.0357	0.03605	98.7754399763	17.0741526039	76.6619274902	120.232375488	0.00035
0.03605	0.0366	115.00124767	4.66561507128	107.914991455	124.093048096	0.00055
0.0366	0.0377	78.4752737149	2.51295358856	72.9850964355	81.9933325195	0.0011
0.0377	0.0382	73.7756151123	1.41701176352	70.7789978027	76.110402832	0.0005
0.0382	0.03865	96.0061442057	2.73200860618	91.5530932617	100.377487793	0.00045
0.03865	0.03945	86.8076831818	2.18804153464	84.0155895996	90.633885498	0.0008
0.03945	0.04025	94.2992264557	2.33853821451	90.0823608398	98.3552307129	0.0008
0.04025	0.04095	85.7095581927	1.8122000258	82.1771740723	88.4277868652	0.0007
0.04095	0.04175	102.468685455	2.56545847781	97.2521813965	107.179625244	0.0008
0.04175	0.0424	92.1611845515	1.21173462302	90.4500439453	94.6783996582	0.00065
0.0424	0.0432	86.3480792999	1.7376658805	84.0155895996	91.5530932617	0.0008
0.0432	0.04385	97.7471394231	1.85444537577	93.0238256836	100.377487793	0.00065
0.04385	0.04435	92.987057373	1.7572021456	89.1631530762	95.0460827637	0.0005
0.04435	0.0454	99.1168600028	2.07162261227	92.6561425781	102.583586426	0.00105
0.0454	0.04675	102.937651638	2.04345545416	98.7229138184	107.54730835	0.00135
0.04675	0.04725	104.403617798	0.807439131769	102.583586426	105.52505127	0.0005
0.04725	0.04825	100.956588684	1.22537669732	98.9067553711	104.2381604	0.001
0.04825	0.0491	73.352779541	3.86607593072	68.2052160645	85.854005127	0.00085
0.0491	0.0496	91.2773309326	1.13103650249	88.9793115234	93.0238256836	0.0005
0.0496	0.05025	110.559481483	2.06681189002	105.157368164	113.797921143	0.00065
0.05025	0.0512	104.992878354	2.75594223258	101.296695557	110.856456299	0.00095
0.0512	0.0515	110.029169312	0.363832914497	109.56956543	110.672614746	0.0003
0.0515	0.0524	110.805389201	1.72110515366	106.628100586	113.61407959	0.0009
0.0524	0.0532	103.491304092	1.66535074051	100.009804687	106.995783691	0.0008
0.0532	0.05375	107.296615323	1.51045871328	105.157368164	109.753406982	0.00055
0.05375	0.054	103.833708984	1.08699961787	102.032061768	105.157368164	0.00025
0.054	0.05435	97.0158136858	3.15638070082	93.3915087891	102.583586426	0.00035
0.05435	0.055	102.329036584	1.67648743081	98.5390722656	105.708892822	0.00065
0.055	0.0554	83.4640649414	2.38640215224	80.5226000977	88.4277868652	0.0004
0.0554	0.0565	67.4698498535	3.33274041198	62.8738110352	79.2357092285	0.0011
0.0565	0.05675	95.9285222168	9.96916311763	77.0296105957	103.870477295	0.00025
0.05675	0.05735	101.526497498	1.40034698442	99.642121582	104.605843506	0.0006
0.05735	0.05795	105.586331787	1.65173447711	102.951269531	107.731149902	0.0006
0.05795	0.05925	96.6653025935	2.11219046873	92.1046179199	100.745170898	0.0013
0.05925	0.06005	101.043913422	1.66459744823	98.1713891602	104.789685059	0.0008
0.06005	0.0606	85.0183617054	1.09568117447	83.4640649414	86.9570544434	0.00055
0.0606	0.06205	108.396783111	2.43913152718	103.502794189	113.981762695	0.00145
0.06205	0.0628	91.0751052246	7.20721415146	75.9265612793	102.032061768	0.00075
0.0628	0.06335	101.246556951	2.01402200121	99.0905969238	104.973526611	0.00055
