start	end	mean	std	min	max	duration
0.0	0.00025	194.94558252	35.8408242436	127.586037598	220.609863281	0.00025
0.00025	0.00425	219.863006973	1.4365378666	215.82998291	222.999803467	0.004
0.00425	0.0077	220.146262844	1.26272602841	217.668398438	222.815961914	0.00345
0.0077	0.008	217.484556885	3.61191342276	209.947053223	221.529071045	0.0003
0.008	0.00825	125.08579248	16.8908672386	91.369251709	135.12354126	0.00025
0.00825	0.00885	129.516373901	2.20546020171	126.299146729	134.204333496	0.0006
0.00885	0.01205	119.715321121	4.27207618074	111.407980957	129.79213623	0.0032
0.01205	0.013	114.484907998	2.70443629045	108.650357666	119.129326172	0.00095
0.013	0.01505	111.318302151	2.829512007	104.2381604	117.107069092	0.00205
0.01505	0.0156	98.1713891602	8.08332874355	85.6701635742	112.694871826	0.00055
0.0156	0.0159	71.759486084	1.67375481139	69.1244238281	74.4558288574	0.0003
0.0159	0.01625	68.4415837751	0.671636846097	67.4698498535	69.4921069336	0.00035
0.01625	0.01655	74.8847924805	4.58212751432	69.8597900391	81.8094909668	0.0003
0.01655	0.02035	85.1500854974	3.69990673312	74.8235119629	92.8399841309	0.0038
0.02035	0.02075	90.3121627808	0.340851361313	89.7146777344	91.0015686035	0.0004
0.02075	0.02165	92.3395265706	1.23902713965	89.8985192871	94.3107165527	0.0009
0.02165	0.02285	94.8392610168	1.55117728644	91.0015686035	97.8037060547	0.0012
0.02285	0.0231	91.7001665039	5.9097553532	84.9347973633	100.009804687	0.00025
0.0231	0.02435	74.2793409668	6.20099056228	59.9323461914	87.6924206543	0.00125
0.02435	0.02505	81.7963594273	2.21752008224	77.5811352539	85.4863220215	0.0007
0.02505	0.02565	95.1839639282	1.93707270176	92.4723010254	98.3552307129	0.0006
0.02565	0.0265	100.215274658	1.85979243508	96.884498291	104.054318848	0.00085
0.0265	0.02685	95.9390274484	1.43896749384	93.2076672363	97.8037060547	0.00035
0.02685	0.02715	98.7535540771	0.77574939188	97.9875476074	100.19364624	0.0003
0.02715	0.0276	96.5985225423	0.683002151545	95.2299243164	97.4360229492	0.00045
0.0276	0.02805	75.8652807617	10.178839699	63.7930187988	93.3915087891	0.00045
0.02805	0.03135	91.5503077836	6.59927255938	79.0518676758	104.605843506	0.0033
0.03135	0.03205	98.0006791469	1.39051780703	95.2299243164	100.561329346	0.0007
0.03205	0.03315	85.4361834162	2.30698130263	80.7064416504	89.1631530762	0.0011
0.03315	0.03375	87.9835031128	1.27027802353	86.2216882324	91.0015686035	0.0006
0.03375	0.0344	90.35105234	1.20793270432	88.4277868652	92.6561425781	0.00065
0.0344	0.03525	96.2464599609	2.30837137209	91.5530932617	100.561329346	0.00085
0.03525	0.0355	81.1844296875	1.77328495856	78.1326599121	83.2802233887	0.00025
0.0355	0.036	67.0102459717	3.7812860207	62.5061279297	76.110402832	0.0005
0.036	0.0365	63.0025001221	1.68503595337	59.7485046387	65.2637512207	0.0005
0.0365	0.03935	74.039766396	4.95200462794	62.1384448242	82.9125402832	0.00285
0.03935	0.0396	91.6633981934	7.29515156307	81.4418078613	101.296695557	0.00025
0.0396	0.0404	100.469408569	1.62624454405	97.0683398437	103.870477295	0.0008
0.0404	0.0415	93.6171325129	2.53767447979	88.611628418	100.19364624	0.0011
0.0415	0.04185	79.6296554129	8.1534911927	68.2052160645	92.1046179199	0.00035
0.04185	0.0425	66.4657921424	4.02299720605	60.6677124023	72.0658886719	0.00065
0.0425	0.04275	75.1176584473	1.81473124647	72.4335717773	77.7649768066	0.00025
0.04275	0.04425	95.5485830078	2.40072635753	88.4277868652	100.009804687	0.0015
